"transactionId","user","datetime","operation","quantity","unitPrice"
30000,"user_57",1596351600956,"OPERATION_4",6,47.89
30001,"user_81",1596351602450,"OPERATION_9",3,79.23
30002,"user_33",1596351603777,"OPERATION_8",9,69.88
30003,"user_37",1596351606674,"OPERATION_9",4,62.63
30004,"user_24",1596351615957,"OPERATION_0",5,81.53
30005,"user_78",1596351618372,"OPERATION_8",1,74.97
30006,"user_88",1596351618929,"OPERATION_9",8,93.88
30007,"user_37",1596351622977,"OPERATION_8",8,65.98
30008,"user_65",1596351630516,"OPERATION_7",10,23
30009,"user_26",1596351631774,"OPERATION_2",8,84.32
30010,"user_99",1596351631839,"OPERATION_6",5,1.15
30011,"user_15",1596351632879,"OPERATION_7",7,71.18
30012,"user_80",1596351640486,"OPERATION_1",4,14.34
30013,"user_92",1596351641100,"OPERATION_3",9,12.88
30014,"user_4",1596351641695,"OPERATION_4",5,63.51
30015,"user_20",1596351643975,"OPERATION_5",8,33
30016,"user_15",1596351648118,"OPERATION_1",1,55
30017,"user_13",1596351649653,"OPERATION_8",7,8.81
30018,"user_89",1596351653494,"OPERATION_6",1,4.98
30019,"user_12",1596351659217,"OPERATION_5",1,84.87
30020,"user_2",1596351673329,"OPERATION_3",5,34.88
30021,"user_98",1596351690042,"OPERATION_8",6,15.54
30022,"user_19",1596351696277,"OPERATION_8",3,45.25
30023,"user_85",1596351697366,"OPERATION_1",5,37.28
30024,"user_53",1596351698074,"OPERATION_7",3,0.6
30025,"user_38",1596351701044,"OPERATION_7",8,48.79
30026,"user_24",1596351712026,"OPERATION_5",1,80.42
30027,"user_5",1596351714296,"OPERATION_6",8,47.94
30028,"user_17",1596351715246,"OPERATION_7",7,3.15
30029,"user_31",1596351717256,"OPERATION_0",2,27.81
30030,"user_62",1596351718936,"OPERATION_1",8,62.52
30031,"user_34",1596351720504,"OPERATION_2",4,55.96
30032,"user_10",1596351722230,"OPERATION_0",10,24.49
30033,"user_3",1596351723927,"OPERATION_2",9,97.04
30034,"user_31",1596351724191,"OPERATION_3",5,17.09
30035,"user_45",1596351728963,"OPERATION_9",6,22.72
30036,"user_77",1596351729026,"OPERATION_6",10,52.27
30037,"user_72",1596351730999,"OPERATION_7",9,78
30038,"user_8",1596351731140,"OPERATION_7",6,58.42
30039,"user_52",1596351731380,"OPERATION_9",6,3.48
30040,"user_14",1596351732934,"OPERATION_1",2,83.84
30041,"user_96",1596351734171,"OPERATION_3",7,40.97
30042,"user_55",1596351737446,"OPERATION_8",5,27.04
30043,"user_50",1596351742391,"OPERATION_6",7,40.07
30044,"user_96",1596351744685,"OPERATION_3",5,21.26
30045,"user_53",1596351745545,"OPERATION_5",1,44.36
30046,"user_95",1596351747698,"OPERATION_3",4,30.92
30047,"user_72",1596351749268,"OPERATION_2",5,54.12
30048,"user_79",1596351749610,"OPERATION_9",8,65.87
30049,"user_71",1596351752164,"OPERATION_6",5,92.41
30050,"user_72",1596351755656,"OPERATION_6",8,36.62
30051,"user_26",1596351758269,"OPERATION_0",6,46.91
30052,"user_19",1596351758496,"OPERATION_3",5,2.6
30053,"user_97",1596351763884,"OPERATION_6",7,96.55
30054,"user_0",1596351767496,"OPERATION_1",6,50.35
30055,"user_87",1596351768979,"OPERATION_7",4,54.77
30056,"user_15",1596351772738,"OPERATION_2",9,65.05
30057,"user_71",1596351779927,"OPERATION_0",10,15.8
30058,"user_20",1596351784317,"OPERATION_1",9,72.73
30059,"user_91",1596351784425,"OPERATION_4",7,59.69
30060,"user_72",1596351794574,"OPERATION_3",2,30.28
30061,"user_59",1596351797828,"OPERATION_2",2,18.63
30062,"user_23",1596351801166,"OPERATION_4",8,85.76
30063,"user_14",1596351801342,"OPERATION_7",8,66.27
30064,"user_25",1596351803227,"OPERATION_0",10,58.54
30065,"user_84",1596351805751,"OPERATION_8",10,45.06
30066,"user_4",1596351808631,"OPERATION_3",9,56.69
30067,"user_54",1596351813101,"OPERATION_1",8,65.38
30068,"user_80",1596351816769,"OPERATION_6",3,4.73
30069,"user_47",1596351819190,"OPERATION_4",1,63.87
30070,"user_38",1596351820075,"OPERATION_0",4,89.91
30071,"user_33",1596351821295,"OPERATION_6",10,28.51
30072,"user_6",1596351822803,"OPERATION_0",2,41.81
30073,"user_86",1596351824297,"OPERATION_4",9,60.33
30074,"user_91",1596351828719,"OPERATION_4",2,21.39
30075,"user_49",1596351831546,"OPERATION_6",9,77.55
30076,"user_70",1596351833540,"OPERATION_2",6,64.59
30077,"user_82",1596351834904,"OPERATION_1",5,39.17
30078,"user_99",1596351835746,"OPERATION_4",3,8.11
30079,"user_19",1596351842217,"OPERATION_3",4,30.93
30080,"user_35",1596351848169,"OPERATION_0",5,1.33
30081,"user_48",1596351851068,"OPERATION_5",4,46.41
30082,"user_81",1596351853791,"OPERATION_2",7,76.22
30083,"user_4",1596351857060,"OPERATION_2",4,44.8
30084,"user_85",1596351869057,"OPERATION_8",7,59.87
30085,"user_3",1596351874192,"OPERATION_8",1,75.4
30086,"user_84",1596351881162,"OPERATION_5",10,45.97
30087,"user_78",1596351881512,"OPERATION_9",2,49.19
30088,"user_25",1596351884873,"OPERATION_2",6,45.07
30089,"user_74",1596351887993,"OPERATION_4",2,81.36
30090,"user_36",1596351896133,"OPERATION_9",3,85.82
30091,"user_33",1596351900724,"OPERATION_9",2,63.42
30092,"user_56",1596351901510,"OPERATION_0",8,58.31
30093,"user_72",1596351901706,"OPERATION_8",3,47.89
30094,"user_3",1596351901993,"OPERATION_2",10,80.84
30095,"user_91",1596351909810,"OPERATION_6",2,14.57
30096,"user_47",1596351910733,"OPERATION_2",2,38.8
30097,"user_95",1596351911644,"OPERATION_6",5,66.65
30098,"user_69",1596351914324,"OPERATION_7",4,95.17
30099,"user_60",1596351916940,"OPERATION_8",1,89.06
30100,"user_42",1596351918325,"OPERATION_9",3,5.52
30101,"user_45",1596351918406,"OPERATION_6",3,26.49
30102,"user_32",1596351928481,"OPERATION_2",8,94.25
30103,"user_13",1596351928620,"OPERATION_5",8,37.04
30104,"user_87",1596351930258,"OPERATION_0",1,23.52
30105,"user_21",1596351930334,"OPERATION_0",1,61.63
30106,"user_36",1596351932500,"OPERATION_6",10,81.8
30107,"user_64",1596351932644,"OPERATION_8",1,68.48
30108,"user_91",1596351936804,"OPERATION_8",5,41.57
30109,"user_42",1596351939015,"OPERATION_4",1,51.94
30110,"user_83",1596351939886,"OPERATION_1",6,10.5
30111,"user_13",1596351940147,"OPERATION_3",1,53.78
30112,"user_80",1596351942431,"OPERATION_5",10,30
30113,"user_1",1596351944535,"OPERATION_1",3,3.61
30114,"user_76",1596351945551,"OPERATION_6",4,80.65
30115,"user_47",1596351951574,"OPERATION_4",3,90.55
30116,"user_38",1596351951840,"OPERATION_5",6,62.06
30117,"user_26",1596351953455,"OPERATION_3",8,25.45
30118,"user_25",1596351957173,"OPERATION_1",9,53.09
30119,"user_41",1596351957290,"OPERATION_5",2,59.86
30120,"user_77",1596351963920,"OPERATION_7",1,59.2
30121,"user_12",1596351967845,"OPERATION_4",7,57.4
30122,"user_4",1596351968723,"OPERATION_4",2,47.3
30123,"user_99",1596351969476,"OPERATION_2",7,56.8
30124,"user_52",1596351971316,"OPERATION_8",5,88.82
30125,"user_24",1596351971419,"OPERATION_1",7,39.49
30126,"user_4",1596351971722,"OPERATION_3",6,81.96
30127,"user_16",1596351972225,"OPERATION_0",4,84.76
30128,"user_28",1596351973082,"OPERATION_0",5,10.4
30129,"user_64",1596351987142,"OPERATION_8",9,70.08
30130,"user_40",1596351988497,"OPERATION_2",6,83.44
30131,"user_37",1596351992836,"OPERATION_6",8,52.79
30132,"user_75",1596351995350,"OPERATION_0",7,80.03
30133,"user_44",1596351996441,"OPERATION_7",2,39.5
30134,"user_45",1596351996589,"OPERATION_8",4,66.86
30135,"user_16",1596351999331,"OPERATION_4",10,71.81
30136,"user_41",1596352000727,"OPERATION_9",7,3.51
30137,"user_6",1596352004905,"OPERATION_3",9,41.59
30138,"user_73",1596352007675,"OPERATION_6",6,30.75
30139,"user_34",1596352007935,"OPERATION_6",1,96.43
30140,"user_84",1596352013374,"OPERATION_9",9,42.92
30141,"user_68",1596352014658,"OPERATION_0",6,5.72
30142,"user_2",1596352016440,"OPERATION_2",8,4.79
30143,"user_25",1596352016461,"OPERATION_0",8,32.39
30144,"user_90",1596352020725,"OPERATION_9",2,32.11
30145,"user_96",1596352027773,"OPERATION_1",1,12.84
30146,"user_87",1596352030658,"OPERATION_9",2,24.87
30147,"user_65",1596352033223,"OPERATION_9",4,43.41
30148,"user_57",1596352033924,"OPERATION_3",5,8.08
30149,"user_94",1596352042176,"OPERATION_1",2,57.6
30150,"user_76",1596352043194,"OPERATION_2",9,78.29
30151,"user_20",1596352051190,"OPERATION_2",6,59.51
30152,"user_33",1596352052391,"OPERATION_9",10,74.37
30153,"user_58",1596352063889,"OPERATION_5",5,33.26
30154,"user_3",1596352068893,"OPERATION_6",10,58.11
30155,"user_85",1596352077933,"OPERATION_8",1,16.73
30156,"user_29",1596352078801,"OPERATION_8",6,12.54
30157,"user_17",1596352080033,"OPERATION_2",3,25.96
30158,"user_6",1596352085231,"OPERATION_1",6,96.82
30159,"user_92",1596352088797,"OPERATION_6",6,74.57
30160,"user_26",1596352090721,"OPERATION_2",2,46.98
30161,"user_60",1596352094150,"OPERATION_9",4,70.29
30162,"user_88",1596352102167,"OPERATION_3",6,87.71
30163,"user_76",1596352104494,"OPERATION_0",5,2.85
30164,"user_34",1596352107020,"OPERATION_3",9,9.75
30165,"user_78",1596352109496,"OPERATION_5",7,86.57
30166,"user_5",1596352114470,"OPERATION_2",10,8.04
30167,"user_23",1596352115433,"OPERATION_9",4,61.16
30168,"user_62",1596352116909,"OPERATION_1",5,75.24
30169,"user_71",1596352134685,"OPERATION_1",6,43.94
30170,"user_67",1596352135601,"OPERATION_2",3,64.48
30171,"user_82",1596352142012,"OPERATION_0",5,48.84
30172,"user_95",1596352151294,"OPERATION_0",10,71.05
30173,"user_22",1596352151381,"OPERATION_8",1,29.73
30174,"user_49",1596352168547,"OPERATION_9",7,80.64
30175,"user_45",1596352168721,"OPERATION_5",2,34.24
30176,"user_7",1596352168861,"OPERATION_0",4,0.41
30177,"user_41",1596352169184,"OPERATION_1",4,76.33
